Email,Leadership,Phone,Name,Acronym,Nation,Affiliated,Recorded By,Recorded Date
botscheerfederation@gmail.com,President Neo L,,,,Botswana,International Cheer Union,Eduardo Fernandes,03/02/2022
adelardkakunze@gmail.com,President Adélard KAKUNZE,,Burundi Cheerleading,,Burundi,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Marie Christine,,Association de Cheerleading Cameroun ,ACC,Cameroon,International Cheer Union,Eduardo Fernandes,03/02/2022
,,201140008055,Egypt Cheerleading Association,,Egypt,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,Ghana Cheerleading Organization ,GCO,Ghana,International Cheer Union,Eduardo Fernandes,03/02/2022
magiceventone@gmail.com,President President Jean,+225.23.00.1410,Fédération Ivoirienne De Cheerleading et Disciplines Associees ,FICA,Ivory Coast,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Javan Odhiambo,,Kenya Cheerleading Sports Association ,KCSA,Kenya,International Cheer Union,Eduardo Fernandes,03/02/2022
Maye_niare@yahoo.com,President Mme MAYE,,Federation Malienne de Cheerleading  ,FEMACHEER,Mali,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Morocco,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Luischen Sirakis,,Namibia Majorette and Cheerleading Federation,,Namibia,International Cheer Union,Eduardo Fernandes,03/02/2022
,,2348032260759,,,Nigeria,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Noella Masengesho,,Rwanda Cheerleading Association,,Rwanda,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Moses Ngobeni,27618095220,South African Majorette and Cheerleading Association ,SAMCA,South Africa,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Chatta Michael,,Tanzanian Cheerleading Association,,Tanzania,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Susan Assiimwe,,Association of Uganda Cheerleaders,,Uganda,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,ICU Recognition Letter,,Zambia,International Cheer Union,Eduardo Fernandes,03/02/2022
zimcheerassociation@gmail.com,President Beverly Matengenzara,,Zimbabwe Cheerleading Association,,Zimbabwe,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Denecia Niles,,Anguilla National Cheer Union ,ANCU,Anguilla,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Argentina,International Cheer Union,Eduardo Fernandes,03/02/2022
cheerbahamas@gmail.com,,,,,Bahamas,International Cheer Union,Eduardo Fernandes,03/02/2022
,President REVAR Kirtons,,Barbados Cheerleading Federation,,Barbados,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Carlos Quirogo,,Bolivia Cheer and Dance Association,,Bolivia,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Brazil,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,British Virgin Islands,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Tara Savoie,,,,Canada,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,Federacion Deportiva Chilena de Cheerleaders y Grupos de Animacion ,FDCCGA,Chile,International Cheer Union,Eduardo Fernandes,03/02/2022
fedecolcheer@gmail.com,,509301283489,FEDERACION COLOMBIANA DE PORRISMO ,FEDECOLCHEER,Colombia,International Cheer Union,Eduardo Fernandes,03/02/2022
fecadcostarica@gmail.com,,,Federación Cheer and Dance Costa Rica ,FECAD,Costa Rica,International Cheer Union,Eduardo Fernandes,03/02/2022
vdmartinez@me.com,President email protected,,Asociación Nacional de Cheerleading de la Republic Dominicana ,ASONACHEER,Dominican Republic,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,ASOCIACION DEPORTIVA ECUADORIANA DE CHEERLEADERS ,ADEC,Ecuador,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,El Salvador,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,French Guiana,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Guatemala,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Rosanie Cherisme,,Fédération Haitienne de Danse Sportive et de Cheerleading ,FEHDACS,Haiti,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Honduras,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Karelle Jones,,Jamaica Cheer Federation ,JACF,Jamaica,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,"Arq. Ricardo Márquez Orozco, Presidente",,Mexico,International Cheer Union,Eduardo Fernandes,03/02/2022
appacheer@gmail.com,,+507.6675.9092,,,Panama,International Cheer Union,Eduardo Fernandes,03/02/2022
victorcheerperu@outlook.com,President Victor Ayambo,,Asociación Cheerleaders Perú ,ASCHEP,Peru,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,PUERTO RICO NATIONAL CHEERLEADING FEDERATION ,PRNCF,Puerto Rico,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,Saint Kitts and Nevis Cheerleading Association ,SKNCA,Saint Kitts and Nevis,International Cheer Union,Eduardo Fernandes,03/02/2022
director.sbc.sba.sr,,,Surinaamse Cheer Associatie ,SCA,Suriname,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Koya Barrimond,+1.868.353.7067,Trinidad and Tobago Cheer Federation ,TTCF,Trinidad and Tobago,International Cheer Union,Eduardo Fernandes,03/02/2022
info@usacheer.org,,+1.844.253.6321,,,United States of America,International Cheer Union,Eduardo Fernandes,03/02/2022
fevenpor@gmail.com,President Jesús Rafael,,Federación Venezolana de Porrismo ,FVP,Venezuela,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Rosalie Randolph,,Virgin Islands Cheerleading,,Virgin Islands,International Cheer Union,Eduardo Fernandes,03/02/2022
