Name,Acronym,Email,Website,Phone1,Phone2,Affiliated,Recorded By,Recorded Date
Ginásio Clube de Águeda,GCÁ,giva.canoagem@gica.pt,www.gica.pt,234623399,962996687,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Fluvial Vilacondense,CFV,secretaria@clubefluvialvilacondense.pt,,252632259,927108099,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico de Crestuma,CNC,clube.nautico.crestuma@gmail.com,www.cncrestuma.pt,227614351,917541550,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico de Prado,CNP,secretaria@clubenauticodeprado.com,www.clubenauticodeprado.com,253923840,965083511,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Vila do Conde Kayak Clube,VCK,geral@kayakclube.com,www.kayakclube.com,966092085,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Naval do Guadiana,ANG,anguadiana@mail.telepac.pt,www.anguadiana.com,281513769,961893583,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Desportiva de Amarante,ADA,ada_slalom@hotmail.com,,255432080,965321251,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Fluvial Odemirense,CFO,clubefluvialodemirense@gmail.com,,968492415,969892124,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Centro Treino Mar,CTM,ctmmadeira@sapo.pt,,965101976,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Náutica do Seixal,ANS,geral.anauticaseixal@gmail.com,www.anauticaseixal.pt,212213625,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
"Grupo Cultural, Desportivo e Recreativo de Gemeses",GCD,gemesesgcdr@gmail.com,,253961104,965006235,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube de Canoagem de Setúbal,CCS,canoagem.setubal@gmail.com,,962613881,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Alhandra Sporting Club,ASC,asc.nautica@gmail.com,,219500005,965478343,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Sporting Club de Aveiro,SCA,melocanoagem@gmail.com,www.sportingcaveiro.pt,234480191,918421248,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico Barquinhense,CNB,cnbarquinhense@gmail.com,,919014565,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico de Mértola,CNM,dir.nautico@gmail.com,,286612044,966527968,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Grupo Desportivo Nabância,GDN,canoagem.nabancia@gmail.com,,919138910,919033063,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Naval de Portimão,CNP,geral@clubenavaldeportimao.com,www.clubenavaldeportimao@mail.telepac.pt,282417529,965839013,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Naval da Horta,CNH,secretariado@cnhorta.org,www.cnhorta.org,292200680,969801715,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Centro de Recreio Popular de Arnelas,CRP,crparnelas@gmail.com,,227832560,917721386,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico de Fão,CNF,clubenfao@gmail.com,,253965182,913496954,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Naval do Funchal,CNF,desporto@clubenavaldofunchal.com,www.clubenavaldofunchal.com,291701770,966227004,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Grupo Desportivo de Alcoutim,GDA,gd.alcoutim@gmail.com,www.gdalcoutim.pt,281546535,965592703,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Fluvial de Coimbra,CFC,cfluvialcoimbra@gmail.com,www.cfcoimbra.com,239992022,912626410,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico Ribadouro,CNR,cnribadouro@gmail.com,lgmag@live.com,917512095,968546338,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Centro de Recreio Popular de Rio Mau,CRP,crpcanoagem@gmail.com,,915500541,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
ARCOR- Associação Recreativa e Cultural de Óis da Ribeira,ARC,arcor.ipss@sapo.pt,arcorseccaocanoagem@gmail.com,234629818,915336059,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Centro Municipal de Cultura e Desenvolvimento de Vila Velha de Ródão,CMC,geral@cmcd-vvr.pt,,272540319,963445866,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico de Ponte de Lima,CNP,geral@clubenautico.pt,,258944899,962003414,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube de Canoagem Scalabitano da Ribeira de Santarém,CCS,ccscalabitano@gmail.com,,962551302,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Rio Neiva,ARN,associacaorioneiva@gmail.com,www.rioneiva.com,969173133,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
