Area,Name,Acronym,City,State,Website,Affiliated,Recorded By,Recorded Date
A,Manchester Sailing Association,MSA,Manchester,MA,http://www.manchestersailing.org,US Sailling,Eduardo Fernandes,14/02/2022
A,"Massachusetts Bay Sailing Association, Inc.",MBSA,Hull,MA,http://www.massbaysailing.org,US Sailling,Eduardo Fernandes,14/02/2022
A,Narragansett Bay Yachting Assn,NBYA,Bristol,RI,http://www.nbya.org,US Sailling,Eduardo Fernandes,14/02/2022
A,Northeast Sailing Association,NESAILING,Yarmouth,MA,https://nesailing.org/,US Sailling,Eduardo Fernandes,14/02/2022
A,Southern Massachusetts Sailing,SMSA,Hyannis,MA,http://www.smsailing.org,US Sailling,Eduardo Fernandes,14/02/2022
B,Eastern Connecticut Sailing Association,ECSA,Old Lyme,CT,http://www.ecsa.net,US Sailling,Eduardo Fernandes,14/02/2022
B,Eastern Long Island Yachting Assn,ELIYA,SOUTHAMPTON,NY,http://www.elisailing.org,US Sailling,Eduardo Fernandes,14/02/2022
B,Great South Bay Yacht Racing Association,GSBYRA,Center Moriches ,NY,http://www.gsbyra.org,US Sailling,Eduardo Fernandes,14/02/2022
B,Mount Sinai Sailing Assoc,MSSA,Mount Sinai,NY,http://www.mssa.org,US Sailling,Eduardo Fernandes,14/02/2022
B,Virgin Islands Sailing Assoc,VISA,St Thomas,VI, ,US Sailling,Eduardo Fernandes,14/02/2022
B,YRA of Long Island Sound,YRA LIS,Mamaroneck,NY,http://www.yralis.org,US Sailling,Eduardo Fernandes,14/02/2022
C,Barnegat Bay YRA,BBYRA,Toms River,NJ,http://www.bbyra.org,US Sailling,Eduardo Fernandes,14/02/2022
C,"Chesapeake Bay Alberg 30 One Design Association, Inc", ,Silver Spring,MD, ,US Sailling,Eduardo Fernandes,14/02/2022
C,Chesapeake Bay Yacht Racing Association,CBYRA,Annapolis,MD,http://www.cbyra.org,US Sailling,Eduardo Fernandes,14/02/2022
C,Deep Creek Yacht Racing Association,DCYRA,Williamsport,MD,http://www.dcyra.com,US Sailling,Eduardo Fernandes,14/02/2022
C,Harbor 20 Class Association Fleet 5, ,Annapolis,MD,http://Harbor20annapolis.org,US Sailling,Eduardo Fernandes,14/02/2022
C,Mid Atlantic YRA,MAYRA,Summit,NJ,http://www.mayra.org,US Sailling,Eduardo Fernandes,14/02/2022
C,North Jersey YRA,NJYRA,Red Bank,NJ,http://www.njyra.org,US Sailling,Eduardo Fernandes,14/02/2022
D,Dixie Inland YRA,DIYRA,Lexington,TN,http://www.diyra.org,US Sailling,Eduardo Fernandes,14/02/2022
D,Florida Sailing Association,FSA,Fort Myers,FL,http://www.floridasailingassociation.org,US Sailling,Eduardo Fernandes,14/02/2022
D,Gulf Yachting Association,GYA,Biloxi,MS,http://www.gya.org,US Sailling,Eduardo Fernandes,14/02/2022
D,Hobie Class Association of North America,HCANA,Treasure Island,FL, ,US Sailling,Eduardo Fernandes,14/02/2022
D,South Atlantic Yacht Racing Association,SAYRA,Mooresville,NC,http://www.SAYRA-sailing.com,US Sailling,Eduardo Fernandes,14/02/2022
E,Cleveland Yacht Racing Association, ,Shaker Heights,OH,http://cyra.us,US Sailling,Eduardo Fernandes,14/02/2022
E,Detroit Regional YRA,DRYA,Saint Clair Shores,MI,http://www.drya.org,US Sailling,Eduardo Fernandes,14/02/2022
E,Inter-Lake Yachting Assoc,I-LYA,Put-In-Bay,OH,http://www.i-lya.org,US Sailling,Eduardo Fernandes,14/02/2022
E,Lake Huron Yachting Association,LHYA,Chesterfield TWP,MI, ,US Sailling,Eduardo Fernandes,14/02/2022
E,Lake Yacht Racing Association,LYRA,Olcott,NY,http://www.lyrawaters.org,US Sailling,Eduardo Fernandes,14/02/2022
E,"Rochester Community Sailing, Inc", ,ROCHESTER,NY,http://rochestercommunitysailing.org,US Sailling,Eduardo Fernandes,14/02/2022
